title,author,star5,star4,star3,star2,star1
Microsoft Office 365 for Beginners 2023: [10 in 1] The All-in-One Guide to Mastering the Whole Suite from Excel to Access | Take Full Advantage of Their Potential Even as a Non-Tech-Savvy,Jeff Owen,90%,9%,1%,1%,0%
Cloud Scale Analytics with Azure Data Services: Build modern data warehouses on Microsoft Azure,Patrik Borosch,78%,22%,0%,0%,0%
"Excel 2023: The Most Updated Bible to Master Microsoft Excel from Zero To Pro in Less than 5 Minutes A Day. Discover All the Formulas, Functions & Charts with Step-by-Step Tutorials, Tips & Tricks",Andrew J. Nash,94%,4%,1%,1%,0%
"PYTHON: Learn Coding Programs with Python Programming and Master Data Analysis & Analytics, Data Science and Machine Learning with the Complete Crash Course for Beginners - 5 Manuscripts in 1 Book",TechExp Academy,60%,15%,12%,5%,8%
Data Structures & Algorithm Analysis in C++,Mark Weiss,63%,15%,11%,3%,8%
"A Common-Sense Guide to Data Structures and Algorithms, Second Edition: Level Up Your Core Programming Skills",Jay Wengrow,81%,14%,3%,1%,1%
"The Dropout Multi-Millionaire: 37 Business Lessons on How to Succeed in Business With No Money, No Education and No Clue",Brian  WIll,75%,16%,6%,1%,1%
System Design Interview: The Ultimate Guide to Master All the Fundamentals of System Design & to Get Ready for the Interview | Including More Than 30 Questions & Case Studies to Practice,Liam DeSantis,93%,7%,0%,0%,0%
Designing Cloud Data Platforms,"Danil Zburivsky,  and , Lynda Partner",69%,26%,5%,0%,0%
"Statistics, Data Analysis, and Decision Modeling",James Evans,66%,7%,11%,6%,10%
Learn Microsoft PowerApps: Build customized business applications without writing any code,Matthew Weston,54%,24%,10%,4%,8%
Excel 2022: The Ultimate all-in-one crash course for beginners to master Everything of Excel 2022. The Step-by-Step Advanced skills workbook on how to create & manipulate Power Excel Formulas & Grids,ROBERT  J GREEN,69%,11%,11%,3%,6%
Humanities Data Analysis: Case Studies with Python,"Folgert Karsdorp, Mike Kestemont, et al.",100%,0%,0%,0%,0%
"Excel 2023: The Easiest Way to Master Microsoft Excel in 7 Days. 200 Clear Illustrations and 100+ Exercises in This Step-by-Step Guide Designed for Absolute Newbie. Discover Formula, Charts and More",Leonard Webb,99%,1%,0%,0%,0%
Crime Analysis with Crime Mapping,Rachel Boba Santos,62%,38%,0%,0%,0%
Applied Longitudinal Data Analysis: Modeling Change and Event Occurrence,"Judith D. Singer,  and , John B. Willett",79%,7%,4%,6%,4%
Python for Data Analysis: From the Beginner to Expert Crash Course 3.0 that will Change your Life as a Digital Programmer Thanks to the Minimalism of this Manual. Deep Machine Learning and Big Data,Mik Arduino,100%,0%,0%,0%,0%
Python and R for the Modern Data Scientist: The Best of Both Worlds,"Rick J. Scavetta,  and , Boyan Angelov",55%,13%,16%,8%,8%
The Data Lakehouse Architecture,"Bill Inmon,  and , Ranjeet Srivastava",100%,0%,0%,0%,0%
Artificial Intelligence in Finance: A Python-Based Guide,Yves Hilpisch,70%,15%,3%,6%,6%
Graph Data Processing with Cypher: A practical guide to building graph traversal queries using the Cypher syntax on Neo4j,Ravindranatha Anthapu,0%,0%,0%,0%,0%
"Excel: The Complete Illustrative Guide for Beginners to Learning any Fundamental, Formula, Function and Chart in Less than 5 Minutes with Simple and Real-Life Examples",Nigel Tillery,66%,20%,10%,3%,2%
Topological Data Analysis for Genomics and Evolution: Topology in Biology,"Raul Rabadan,  and , Andrew J. Blumberg",76%,14%,5%,5%,0%
"Mathletics: How Gamblers, Managers, and Fans Use Mathematics in Sports, Second Edition","Wayne L. Winston, Scott Nestler, et al.",80%,11%,4%,4%,0%
Data Analysis for Continuous School Improvement: For Continuous School Improvement,Victoria L. Bernhardt,74%,14%,9%,2%,2%
An Introduction to Statistical Methods and Data Analysis,"R. Lyman Ott,  and , Micheal T. Longnecker",62%,17%,6%,7%,8%
"Python for Finance Cookbook: Over 80 powerful recipes for effective financial data analysis, 2nd Edition",Eryk Lewinson,0%,0%,0%,0%,0%
Excel Formulas (Quick Study Computer),Inc. BarCharts,73%,15%,8%,2%,2%
